player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,gross_weekly_eur,gross_annual_eur,position,age,nationality
Anass Zaroury,877036,Burnley,6,england,2324,160,6,1,6.47,0,0,0,0.17,0.1,0,3,27.27,11,2,33.33,26,17,40,67.8,0,0.0,1,0,0,0,8,0,0,1,0,1,6,0,1,2,4,14,0,1,4,0,0.0,0,4,4,0,0,0,,6,31.58,0,0,0,19,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,35,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,2,1,1,2,40.0,0,1,0,0.0,2,3,5,11,6,30.0,6,43,27,59,38.8,3,0,92,3,0,0,17377.0,903608.0,F,22.0,Morocco
Tim Iroegbunam,1085950,Aston Villa,40,england,2324,178,9,1,6.46,0,0,0,,0.01,1,0,0.0,3,0,0.0,23,28,51,92.73,2,100.0,0,0,0,0,15,0,0,0,0,2,8,0,0,3,5,19,0,0,9,0,0.0,0,7,4,3,0,0,,12,38.71,0,0,0,4,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,60.0,0,7,5,71.43,0,1,5,0,14,42.42,0,25,30,55,51.7,0,0,88,3,0,0,5792.0,301203.0,M,20.0,England
Myles Peart-Harris,980649,Brentford,50,england,2324,24,3,0,6.45,0,0,0,,0.0,0,0,0.0,4,0,0.0,4,1,5,71.43,0,0.0,5,0,0,0,0,0,0,0,0,1,2,0,0,2,0,9,0,0,2,0,0.0,0,0,0,0,0,0,,2,33.33,0,0,0,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,0,1,2,18.18,1,7,1,7,12.9,0,0,15,2,0,0,5792.0,301203.0,F,20.0,England
Dane Scarlett,998772,Tottenham Hotspur,33,england,2324,42,4,0,6.45,0,0,0,,0.0,0,0,0.0,1,0,0.0,2,0,2,66.67,0,0.0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,6,0,0,1,0,0.0,0,0,0,0,0,0,,3,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,1,1,100.0,0,0,2,0,3,33.33,0,3,0,3,25.8,0,0,14,2,0,0,,,,,
Deivid Washington,1485371,Chelsea,38,england,2324,19,2,0,6.45,0,0,0,0.47,0.0,0,0,0.0,0,0,0.0,0,1,1,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0.0,0,1,1,0,0,0,,1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0.0,0,1,1,100.0,0,0,1,0,1,25.0,0,0,1,1,12.9,1,0,6,0,0,0,46339.0,2409620.0,F,18.0,Brazil
James Tomkins,32124,Crystal Palace,7,england,2324,32,4,0,6.43,0,0,0,0.0,0.0,0,0,0.0,1,3,60.0,7,11,18,85.71,2,100.0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,2,2,0,0,0,,0,0.0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,2,100.0,5,10,11,21,19.3,0,0,24,0,0,0,57924.0,3012026.0,D,34.0,England
Daiki Hashioka,897334,Luton Town,72,england,2324,595,10,6,6.43,0,0,0,0.11,0.26,6,3,33.33,35,8,33.33,81,133,211,82.42,13,52.0,12,0,0,0,26,1,0,1,0,20,10,0,0,6,6,35,0,0,10,0,0.0,0,21,18,3,0,0,,17,42.5,0,0,0,45,8,3,0,0,7,2,0,0,0,0.0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,0,1,50.0,0,11,5,45.45,3,14,2,9,30,46.15,24,117,148,256,64.3,2,0,371,6,0,0,17377.0,903608.0,D,24.0,Japan
Ian Maatsen,976263,Chelsea,38,england,2324,222,12,1,6.43,0,0,0,0.81,0.2,1,2,25.0,38,2,28.57,62,26,86,72.27,3,37.5,5,0,0,0,11,0,1,3,0,9,11,0,0,7,4,25,0,0,5,0,0.0,0,5,5,0,0,0,,4,16.67,0,0,1,33,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,1,1,1,0,0.0,0,3,2,66.67,2,7,4,8,7,21.88,7,88,39,119,70.7,5,0,190,1,1,0,0.0,0.0,D,21.0,Netherlands
Kalvin Phillips,786028,West Ham United,37,england,2324,403,12,3,6.43,0,0,0,0.16,0.12,11,1,33.33,51,13,52.0,98,104,201,82.72,7,87.5,1,0,0,0,31,0,0,1,0,4,12,0,0,5,4,33,1,0,17,0,0.0,0,12,9,3,0,0,,23,41.82,0,0,0,42,6,0,0,0,1,0,0,0,1,0.0,0,0,0,0,65,2,0,1,0,0,0,0,0,0,0,0.0,0.0,0,2,3,2,2,2,25.0,0,14,9,64.29,0,26,8,3,30,47.62,25,134,112,243,77.1,5,0,320,7,1,1,173771.0,9036077.0,M,28.0,England
Bobby Clark,1142638,Liverpool,44,england,2324,103,5,1,6.43,0,0,0,0.14,0.01,0,0,0.0,10,1,50.0,22,16,38,77.55,0,0.0,1,0,0,0,6,0,0,1,0,1,4,0,0,6,4,16,0,0,4,0,0.0,0,0,0,0,0,0,,5,25.0,0,0,0,11,1,0,0,0,2,0,0,0,0,0.0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,0,0,0.0,0,2,1,50.0,0,3,3,0,5,23.81,2,30,19,49,25.7,2,0,79,3,0,0,,,,,
Willy Kambwala,1136721,Manchester United,35,england,2324,336,8,3,6.41,0,0,0,,0.02,1,0,0.0,8,5,23.81,41,121,162,84.82,6,75.0,2,0,0,0,12,0,0,0,0,12,7,0,0,1,2,11,1,0,4,0,0.0,1,10,9,1,0,0,,5,35.71,0,0,0,29,4,0,0,0,3,0,0,0,0,0.0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,3,1,33.33,0,5,2,0,11,50.0,21,57,134,191,44.9,0,0,235,2,1,0,8689.0,451804.0,D,19.0,France
Thiago Alcântara,53825,Liverpool,44,england,2324,13,1,0,6.4,0,0,0,,0.0,0,0,0.0,0,1,50.0,4,3,7,70.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,,0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0.0,2,5,5,10,6.4,0,0,10,0,0,0,231694.0,12048102.0,M,32.0,Spain
Loris Karius,174135,Newcastle United,39,england,2324,90,1,1,6.4,0,0,0,,0.0,0,0,0.0,0,3,16.67,2,14,16,51.61,0,0.0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,9,4,4,0,0,0,-1.99,0,0.0,0,1,0,15,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,16,0,0,0,0,2,3,1,4,0,1,0.0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1,0,0,0,0.0,18,15,16,31,6.4,0,0,43,0,0,0,11585.0,602405.0,K,30.0,Germany
